



缺陷ID,模块,缺陷标题,严重程度,优先级,测试步骤,预期结果,实际结果,重现率,发现方式,状态,创建人
BUG-001,订单提交,弱网环境下订单提交后无loading提示且页面卡顿,高,高,"1. Fiddler限速100KB/s模拟弱网 2. 选择任意预定项目 3. 点击提交预定",显示loading加载提示，提交成功或失败有明确反馈,无任何提示，页面卡顿约3-5秒,100%,弱网模拟,已修复,葛依睿
BUG-002,预定清单,同一商品重复点击会重复添加到清单,中,高,"1. 点击任意美食项目（正常添加） 2. 再次点击同一个美食项目",第二次点击应移除该项目,第二次点击又添加了一次，导致清单出现两个相同商品,80%,功能测试,已修复,葛依睿
BUG-003,订单提交,提交订单时总价与明细总和不一致,高,高,"1. 添加美食88元+交通36元（预期总价124） 2. 点击提交订单 3. 查看提交的数据",提交的totalPrice等于各项目price之和（124）,提交的totalPrice为前一次操作遗留值（如88）,60%,接口测试,已修复,葛依睿
BUG-004,搜索推荐,目的地输入框未做防XSS处理，可注入脚本,高,高,"1. 目的地输入<script>alert('test')</script> 2. 点击生成推荐",输入内容被转义或过滤，不执行脚本,弹出了alert对话框,100%,安全测试,已修复,葛依睿
BUG-005,页面布局,移动端（宽度<520px）美食模块按钮文字溢出,中,中,"1. Chrome调试切换到iPhone SE 2. 查看美食模块的预定按钮",按钮文字换行或缩小字号，完整显示,文字超出按钮边界，部分被遮挡,100%,兼容性测试,待修复,葛依睿
BUG-006,预定清单,添加超过10个项目后清单区域出现滚动条但样式错乱,低,低,"1. 连续添加11个预定项目 2. 查看左侧清单区域",清单区域有滚动条，样式正常,滚动条出现但最后一个项目被截断一半,80%,功能测试,待修复,葛依睿
BUG-007,接口,POST /api/orders 空items返回500而非400,高,中,"1. 发送POST请求 body为{'items':[]} 2. 查看响应状态码",返回400 Bad Request,返回500 Internal Server Error,100%,接口测试,待修复,葛依睿
BUG-008,接口,GET /api/products 响应时间超过1秒,中,中,"1. 使用JMeter发送GET请求 2. 查看响应时间",响应时间<500ms,平均响应时间1.2秒,100%,性能测试,待优化,葛依睿
BUG-009,美食模块,弱网环境下美食模块图片加载失败无占位图,中,低,"1. Fiddler限速50KB/s 2. 刷新页面",图片加载中显示占位图，加载失败显示默认图,图片区域空白，无任何提示,100%,弱网模拟,待修复,葛依睿
BUG-010,订单提交,提交订单后toast提示不自动消失,低,低,"1. 选择项目后提交订单 2. 等待10秒",toast提示3-5秒后自动消失,toast提示一直停留在页面上,80%,功能测试,待修复,葛依睿
